id,phase,severity,status,title,how_found,root_cause,fix,verification,files
P2-015,2C,critical,fixed,"The ground rendered as sky: no landmass, water or roads anywhere","First aerial capture showed buildings floating on blue","manhattan_base.glb holds every object whose name carried no tile suffix - the landmass, the water plane, the bridges - and the tile regex only matched manhattan_NN_NN.glb, so it was never in the manifest","Add it to the tile list flagged always-resident, and make the streamer never unload an always tile","119 tiles resident instead of 118; land, rivers and parks visible in every aerial capture",scripts/phase2/45_build_runtime_data.py apps/manhattan-threejs/src/streamer.js
P2-016,2C,high,fixed,"Ground, roads, parks and trees exported to glTF as pure white and blew out to a featureless white plane","Aerial capture after the base tile was added; the island was white from horizon to horizon","Five Phase 1 materials build their colour in a Blender node graph (noise -> colour ramp -> Base Color). glTF has no equivalent, so the exporter writes baseColorFactor = white and expects a texture that does not exist","New Phase 2 export script flattens those five graphs to the midpoint of their colour ramps in memory only, then re-exports. Phase 1 scripts and the .blend on disk are untouched","MAT_land #3f3e3c, MAT_asphalt #2f2f31, MAT_park #3a522a, MAT_tree #304622 in the browser; the island reads as asphalt and green",scripts/phase2/46_export_runtime_tiles.py
P2-017,2D,high,fixed,"Every ground-floor treatment the classifier assigns was invisible","Looking for storefronts at street level and finding none","Phase 1 raised the land plane to 12 m to cure depth speckle, but buildings still extrude from 0, so the bottom 12 m of every building is buried - including the entire ground-floor band the shader draws","Measure facade height from the street: read LAND_LEVEL out of blender_common.py into city.json and subtract it in the shader","Storefronts, sign fascias and bulkheads visible at street level; floor lines now align with the pavement",scripts/phase2/45_build_runtime_data.py apps/manhattan-threejs/src/facade.js
P2-018,2C,medium,fixed,"A corrected re-export appeared to have no effect in the browser","Re-exported all 119 tiles with fixed materials, reloaded, and saw the identical white ground","The dev server sends Cache-Control max-age=3600 on /tiles/, which is correct for a large immutable asset but means a rebuild is invisible until the cache expires","Record each tile's mtime in the manifest and append it to the request URL, so a re-export changes the URL","Flattened material colours reached the browser on the next reload",scripts/phase2/45_build_runtime_data.py apps/manhattan-threejs/src/streamer.js
P2-019,2D,medium,fixed,"Storefront bands rendered as a solid bright blue stripe around the base of every building","Harlem street capture","The ground floor was drawn as one large glass opening with the same sky-reflection term as an upper-floor window, and at a grazing angle the fresnel drove it to sky blue","Draw the real stack - bulkhead, glass, sign fascia - and cut the sky reflection on shop glass, which is recessed and full of dark interior","Storefronts read as recessed dark glazing with a fascia above",apps/manhattan-threejs/src/facade.js
P2-020,2C,low,fixed,"Evidence capture labelled harlem_rowhouses photographed the East River","Reviewing the captured PNG against its name","Camera positions were written as hand-computed local metres and the Harlem one was wrong by about 3 km","Define every shot as a real latitude and longitude and project it at capture time","All ten shots land in the district they are named after",apps/manhattan-threejs/src/capture.js
P2-021,2C,critical,fixed,"Draco quantized _bid so 83% of building ids arrived non-integer and picking returned a neighbour's record","Sampled 180925 _bid values straight off the loaded geometry after wiring the street layer","glTF Draco export defaults export_draco_generic_quantization to 12 bits, and generic covers custom attributes. Over the 0-56475 id range that is a step of about 14, so ids were smeared by up to 9","Raise generic quantization to 24 bits. _BID presence was already a regression requirement (R14); the value being exact now is too","Worst id error fell from 0.5 (a step of ~14) to 0.0039. Five sample picks all returned exact integers and the correct building record",scripts/phase2/46_export_runtime_tiles.py
P2-022,2C,critical,fixed,"Every road, kerb and lane marking in the city was buried under the ground plane","Probing straight down from a street-level camera: the only hit was LAND_manhattan at y=12.407 when the blend file has its top at exactly 12.000","Draco position quantization defaults to 14 bits spread across each mesh's own bounding box. LAND_manhattan spans 14.4 km, so the step is 0.88 m and a vertex authored at 12.00 landed at 12.407 - well above the 50 mm the roads sit proud of the land","Raise position quantization to 20 bits: 14 mm on the 14.4 km land mesh, 1.3 mm on a 1.4 km tile","Land now measures 11.993 (0.007 m error). A downward probe on 7 Ave returns ROADMARK 12.08 / ROAD 12.05 / LAND 11.993 in the correct order, and streets render",scripts/phase2/46_export_runtime_tiles.py
P2-023,2E,high,fixed,"Sidewalk area came out at 34.65 km2 for a 59 km2 borough","Sanity-checking the street report against the size of Manhattan","Two compounding errors: the fetch bbox around Manhattan also contains Long Island City, Williamsburg, Hoboken and the south Bronx; and the area sum counted only outer rings, so every block interior enclosed by a sidewalk ring was counted as pavement","Filter by point-in-polygon against the city's own NTA polygons (shared scripts/phase2/nta.py), and subtract hole rings from the area","5202 polygons with 3854 holes, 6.97 km2 net - the right order for a borough with about 800 km of street frontage",scripts/phase2/47_build_streets.py scripts/phase2/nta.py
P2-024,2E,medium,fixed,"Evidence shot named fifth_ave_34th photographed an empty plane from inside the Empire State Building's block","Comparing the shot to what a camera at 5th and 34th should see","A latitude and longitude typed from memory lands mid-block about as often as it lands on a street, and 30 m of error matters when the street is 30 m wide","Snap every street-level shot to the nearest drivable segment in the street graph and aim it along that segment","All six street-level shots now stand on a carriageway looking down it",apps/manhattan-threejs/src/capture.js
P2-025,2C,medium,fixed,"Capture placed the camera but every shot pointed wherever the camera was last left","Two consecutive shots came out with identical framing","Controls.update() is what converts yaw and pitch into a camera quaternion, and it runs from the render loop - which the browser throttles to about 1 Hz in a hidden tab","Set the quaternion directly in place(), and pump the streamers explicitly in settle() instead of relying on requestAnimationFrame","Each shot now frames its own subject, and tiles for a new position load before the frame is taken",apps/manhattan-threejs/src/capture.js
P2-026,2D,medium,fixed,"Jacob K. Javits Convention Center (1986 glass and steel) classified as prewar_masonry_apartment","Picking buildings in the runtime after the id fix made picking trustworthy; reproduced in the qa-integrity audit (building 19495)","No NYC footprint match (match_confidence=none) and an uninformative OSM tag (building=yes), so the geometry ladder decided. The ladder never considered footprint scale: an 86,230 m2 floor plate is two city blocks, no apartment building is that wide, but 53.6 m height fell below the tower branch and the small-building branches, then landed on prewar apartment","The geometry ladder now checks footprint >= 30,000 m2 after the tower branch: named large sheds classify as beaux_arts_civic, unnamed as warehouse. Only 4 Manhattan buildings (and 1 context row) exceed 30,000 m2, so the rule is surgical","Javits is now beaux_arts_civic. The one unnamed context shed (32,011 m2, Jersey filler) is now warehouse instead of prewar apartment. No other building changed archetype",scripts/phase2/42_classify_architecture.py
P2-027,2F,medium,fixed,"Every vehicle reported a 1.9 m length, collapsing car-following gaps","Printing the fleet dimensions after loading vehicles.glb: a bus came out 2.6 m long","The glTF exporter maps Blender (x,y,z) to (x,z,-y). Bodies are authored along Blender +x, so after export length is the x extent and width is the z extent - they were read the other way round","Swap the axes when measuring the bounding box","sedan 4.80 x 1.92, bus 12.26 x 2.56, matching the authored dimensions",apps/manhattan-threejs/src/vehicles.js
P2-028,2F,high,fixed,"Instance paint tinted the glass and tyres along with the body","First traffic render: vehicles were uniformly pale with no visible glazing","The paint-mask shader read a vInstanceColor varying, which three does not declare - its color_vertex chunk multiplies instanceColor into vColor instead","Keep the raw COLOR_0 attribute in a vPaint varying and mix against vColor, which already carries the instance tint. Body panels are authored white so vColor is the paint; glass and tyres take vPaint's own rgb","Vehicles now render in distinct colours with dark glazing, black tyres and red tail lamps; taxis are yellow with untinted glass",apps/manhattan-threejs/src/vehicles.js
P2-029,2G,high,fixed,"The outer lane of every avenue ran along the pavement","First traffic render at Times Square: cars driving on the sidewalk","Lane offsets were stacked at a fixed 3.35 m per lane to the right of the centreline, so lane 3 of a 4-lane avenue sat 11.7 m off centre on a road whose half-width is 7.6 m","Fit travel lanes inside the carriageway less its parking lanes, centred on the centreline for one-way and on the correct half for two-way","Lane spacing now derives from LION's own streetwidth and number_park_lanes; no vehicle leaves the asphalt",apps/manhattan-threejs/src/traffic.js
P2-030,2G,medium,fixed,"Vehicles spawned inside one another","Counting pairs closer than their combined half-widths: dozens per frame","Spawn picked a random position along a lane without checking occupancy, and car-following only resolves a gap on the frame after","Reject a spawn whose position is within the combined half-lengths plus the minimum gap of an existing vehicle in that lane","Overlaps fell from dozens to 0-14 out of ~400, and the remainder are cross-lane conflicts at junctions rather than spawn errors",apps/manhattan-threejs/src/traffic.js
P2-031,2G,high,fixed,"557 vehicles simulating and only 6 within 120 m; the camera's own street was empty","Instrumenting the SoHo shot after it rendered with no visible traffic","Spawn lanes were picked uniformly from the simulation disc, and area grows with the square of the radius, so nearly every vehicle landed in the far ring","Sort candidate lanes by distance and pick with a squared random index, which biases hard toward the camera","Vehicles within 120 m rose from 6 to 60-69 across five camera positions",apps/manhattan-threejs/src/traffic.js
P2-032,2H,high,fixed,Every capture wrote a 0-byte PNG and still reported ok:true,"Shooting the first street-life evidence set: six files, all 0 KB","The canvas is sized from innerWidth, and a Browser pane that is not displayed reports 0, so the renderer had a 0x0 drawing buffer and toDataURL returned the six-character string ""data:,""",Capture pins its own 1280x720 render size and restores the viewport afterwards; the sink rejects a body under 1000 base64 characters with HTTP 422 instead of writing it,Six shots re-taken at 171-525 KB each; an artificially emptied body now returns ok:false,apps/manhattan-threejs/src/capture.js;apps/manhattan-threejs/vite.config.js
P2-033,2H,medium,fixed,An 8 m spruce standing on the pavement of Fifth Avenue,Looking at the first street-level capture,"The species-to-crown table put pyrus, prunus, malus and crataegus in the conifer bucket - Callery pear, cherry, crab apple and hawthorn, every one of them a small round-headed broadleaf","Conifer form now contains only actual conifers; pear moved to the upright form, the other three fall through to spreading broadleaf","Conifers fell from an implied 15% to 399 of 54214 trees (0.74%), and the genus ranking now matches the NYC street tree census: honeylocust, oak, ginkgo, Callery pear, linden",scripts/phase2/48_build_walk.py
P2-034,2H,medium,fixed,Walk-mode evidence shots were taken from inside a moving bus,Two of the first three street-level captures were filled by a dark mass at the camera,"Capture snapped walk-mode shots to the nearest drivable centreline, which stands the camera in the middle of the traffic lane","Snap walk shots to the walk graph instead, and measure eye height from the pavement rather than the carriageway",All six street-level shots now stand on the pavement at 13.9 m world height (12.0 land + 0.20 kerb + 1.7 eye),apps/manhattan-threejs/src/capture.js
P2-035,2H,high,fixed,Pedestrians walked into building walls and off the kerb,Raycasting straight down from 250 walkers and comparing the surface height with the pavement height,"The lateral offset was scaled by a sidewalk width estimated from the street width. Where the estimate ran wide, walkers on the building side entered the footprint and walkers on the kerb side stepped into the roadway","48_build_walk.py probes outward from every retained sample and stores the free half-width per vertex per side, measured off the sidewalk survey; the runtime scales the offset by the surveyed width at the walker's own position",On-pavement rose from 92.2% to 98.7% of 300 sampled; walkers inside a building footprint fell from 2 in 250 to 0; lateral spread widened from 0.6 m to 4.2 m,scripts/phase2/48_build_walk.py;apps/manhattan-threejs/src/pedestrians.js
P2-036,2H,medium,fixed,71% of walk lanes reported no room to stand on either side,Summarising the free-width distribution straight after adding it,"Each kept vertex took the minimum free width over the span it represented, and the simplifier drops eight vertices in nine, so one doorway alcove or pinched corner zeroed a whole block","Use the low quartile over the span instead of the minimum, and exclude the samples the run bridged across a driveway, which are not pavement and read as zero",Lanes with no usable width fell from 71.2% to 1.4%; 56.0% now have room on both sides,scripts/phase2/48_build_walk.py
P2-037,2H,medium,fixed,The crowd was a silhouette: every figure read as near-black,Looking at the SoHo capture,"The clothing palette was authored as dark greys between 0x1d and 0x5c. Those are sRGB values and three converts them to linear, so 0x2a2c30 lands at 0.023 - effectively black","Rebalance the palette to roughly a quarter dark, a third mid and the rest light, which is what a midday pavement actually looks like",Tops now span 0x1f2228 to 0xe2e0da; figures are legible against both the pavement and the shaded building wall,apps/manhattan-threejs/src/pedestrians.js
P2-038,2H,medium,fixed,"The pedestrian limb rig decoded every hip pivot to 3.08 m, above the top of the head",Decoding TEXCOORD_0 out of peds.glb before writing the shader,"glTF's UV origin is the opposite corner from Blender's, so the exporter writes 1 - v. The pivot height was authored as z/4 and arrived as 1 - z/4","Decode the pivot as (1 - uv.y) * 4 in the vertex shader, with the flip named in the comment","Hip pivots read 0.92 / 0.88 / 0.65 m for adult_a, adult_b and child, matching the authored figures",apps/manhattan-threejs/src/pedestrians.js
P2-039,2I,high,fixed,PLUTO floor areas and unit counts were being counted once per building on a lot,The busiest daytime cell in the derived demand field reported 3.3 million m2 of office space inside one 200 m block,"PLUTO describes a tax lot, and the registry copies its attributes onto every building matched to that lot. 20.6% of Manhattan buildings share a lot, and they are disproportionately the large ones",Apportion every lot-level total across the buildings on the lot by approximate built volume (footprint x floors). Splitting evenly would put half a lot's offices in its loading dock,"Totals fell to the per-lot figures and match the real borough: 730806 residential units against about 870000 actual, 36.0 M m2 office against about 40 M, 129 M m2 floor area. Before the fix: 2095335 units, 57.8 M m2, 324 M m2",scripts/phase2/49_build_demand.py
P2-040,2I,high,fixed,Times Square was quieter than a SoHo side street,"Comparing the pedestrian count across the six evidence shots: SoHo 445, Times Square 243","Crowd density scaled with how much pavement was in scope and traffic with how many lanes were, which measure street layout rather than activity. SoHo has more small streets per hectare than Midtown has","Build a 200 m demand field from PLUTO retail, office and residential floor space, and weight both the spawn total and the per-lane spawn by it","Pedestrians per walk lane now run 1.04 at Herald Square, 1.00 at 42nd and 6th, 0.41 in SoHo, 0.16 in the West Village, 0.11 in Inwood - a 9.5x spread in the right order. The field's own peak cells are Herald Square, Penn Station and Bryant Park",scripts/phase2/49_build_demand.py;apps/manhattan-threejs/src/demand.js;apps/manhattan-threejs/src/pedestrians.js
P2-041,2I,medium,fixed,Traffic volume weights were compressed into a 0.23-0.38 band and changed nothing,Summarising the lane weight distribution after wiring the DOT counts in,"The weight normalised against the maximum segment volume. One segment of the FDR Drive carries 2700 vehicles an hour against a borough median of 57, so every ordinary street was squeezed against zero","Normalise against the 90th percentile of edge volume (157.5 vph), emitted in the data file rather than hard-coded in the runtime",Lane weights now span 0.07 to 1.00 with a median of 0.76,scripts/phase2/49_build_demand.py;apps/manhattan-threejs/src/demand.js
P2-042,2I,medium,fixed,Vehicles were no more likely to be on an avenue than on a mews,Measuring the mean measured volume of occupied lanes against the mean of all lanes in scope: a ratio of 0.99 to 1.13,"Spawn acceptance was linear in the lane weight. With weights centred on 0.76 that runs 0.80 against 1.00 - a 1.2x preference, invisible against sampling noise",Cube the acceptance probability and raise the spawn guard so the loop can still reach its target,"Concentration rose to 1.39x at Herald Square, 1.43x in East Harlem, 1.21x in SoHo. Modest and reported as modest; the DOT counts cover 564 of 11405 drivable edges and the fitted model for the rest is only slightly better than the mean",apps/manhattan-threejs/src/traffic.js
P2-043,2I,low,wontfix,NYC DOT Bi-Annual Pedestrian Counts (2de2-6x2h) cannot be read from the public API,Attempting to fetch it as the independent validation set for the pedestrian demand field,"The dataset reports 114 rows but every column is hidden on the tabular endpoint: JSON returns 114 empty objects and CSV returns blank lines. It is Esri-backed, the same pattern as the map resources 3mf9-qshr and vfx9-tbb6","Not fixable from here. The pedestrian field is therefore validated against known geography (its peak cells are Herald Square, Penn Station and Bryant Park) rather than against measured footfall, and DATA_SOURCES.md says so","Confirmed on both .json and .csv endpoints and via $query=SELECT *. Re-confirmed wontfix 2026-08-05: external API, no action",docs/phase2/DATA_SOURCES.md
P2-044,2C,high,fixed,The runtime had no LOD and no streaming: every tile was resident from anywhere on the island,"Reading the streamer's own configuration while measuring the aerial views: far = 30000 on a 21 km island, resident 119 of 119 at every camera position","44_build_cells.py defined a five-tier ladder but nothing ever exported tiers 2 to 4, so the streaming radius was widened until the whole city fitted inside it. The docstring said so; nothing acted on it","56_build_lods.py exports L2, L3 and L4 massing per tile from the same frozen inputs Phase 1 used, and lod.js picks exactly one representation per tile per frame while the streamer hides that tile's own building meshes","Times Square 2523015 -> 939647 triangles, 284 -> 89 draw calls, 0.55 -> 0.27 ms; downtown aerial 2695343 -> 832392 triangles, 341 -> 93 draws, 0.69 -> 0.27 ms. Resident tile payload 67.8 MB -> 10-16 MB",scripts/phase2/56_build_lods.py;apps/manhattan-threejs/src/lod.js;apps/manhattan-threejs/src/streamer.js
P2-045,2C,high,fixed,Flat 10-vertex massing rendered directly across the street from the camera,"Only 1 to 2 tiles were reporting the full tier at street level, which is impossible if the near band is 900 m","The tier was chosen from the distance to the tile's centre. A 1400 m tile has a 990 m half-diagonal, so a tile whose near corner is 200 m away measures 900 m from its centre and was handed to L2","Measure to the tile's nearest edge instead, clamped per axis, using the tile's true grid extent rather than the centroid of the buildings inside it",Tiles at full detail rose from 1-2 to 4-6 at street level; the visible near field is full facade geometry in every street-level capture,apps/manhattan-threejs/src/lod.js
P2-046,2C,high,fixed,85 of 101 far tiles never loaded any geometry at all,Counting LOD meshes actually present in the scene against the tier counts: 16 meshes for 101 tiles wanting one,"A tier load skipped because the in-flight cap was full was only retried when the tile's tier changed. For a tile that had settled on its tier, that never happened again",Retry the load from the per-frame update whenever the wanted tier has no group and is not already in flight,"Missing tiers fell to 0 across four camera positions, verified by counting tiles whose wanted tier has a manifest entry but no loaded group",apps/manhattan-threejs/src/lod.js
P2-047,2C,medium,fixed,A single always-resident L4 skyline mesh would have z-fought every near tier,Working through the swap logic before wiring it: the tiers are coincident geometry by construction,"The ladder in 44_build_cells.py specifies L4 as one merged city silhouette. That cannot coexist with a per-tile swap - from Midtown you need L4 for downtown and full detail underfoot at the same time, and one mesh cannot be both","Emit L4 per tile like the other tiers, so exactly one representation is on per tile at any range","5060 triangles over 42 tiles, 506 buildings at or above 100 m. No coincident geometry in any capture",scripts/phase2/56_build_lods.py
P2-048,2C,low,wontfix,"The LOD tiers are built on the 1400 m tile grid, not the 800 m sector grid the ladder specifies",Deciding the swap unit while wiring lod.js,The sector and tile grids do not nest: an 800 m sector straddles up to four 1400 m tiles. A distance-based swap between a sector proxy and a tile of full detail would either draw a building twice or leave a hole,"Build on the tile grid, which is the grid the full-detail geometry actually exists on, so each tile shows exactly one of full, L2, L3 or L4","Verified by raycast: L2 roof heights match the registry's surveyed heights with median, p90 and max error all 0.00 m over 390 samples. Re-confirmed wontfix 2026-08-05: LOD_REPORT.json grid_m = 1400.0, design decision",scripts/phase2/56_build_lods.py
P2-049,2J,high,fixed,"2,550 rain drops rendered and not one pixel of rain appeared","Counting drop instances inside the view frustum: 682 of them, and the capture showed nothing","The rain and splash meshes were authored with COLOR_0 alpha 0, following the paint-mask convention used by the fleet and the props. Their runtime material is MeshBasicMaterial with vertexColors, and three multiplies COLOR_0's alpha into opacity when USE_COLOR_ALPHA is defined, so every drop was fully transparent","Author rain and splash at alpha 1 and let the material's own opacity do the transparency. The clouds, authored at alpha 1, rendering correctly all along is what identified it","Toggling rain with traffic and crowd frozen changes 204,223 of 230,400 pixels; drops are visible as streaks across the frame",scripts/phase2/58_weather.py
P2-050,2J,medium,fixed,"Rain streaks were authored 6 mm wide, which is a third of a pixel",Working out why drops with correct positions were still not visible,"The streak width was chosen for physical plausibility. At a 62 degree field of view across 1280 pixels, one pixel is about 19 mm at 20 m, so a 6 mm streak covers 0.3 of a pixel","Author at 36 mm, roughly two pixels at 20 m. Width here is set by the screen, not by physics",Streaks are legible against both the sky and the building faces in the rain capture,scripts/phase2/58_weather.py
P2-051,2J,medium,fixed,Evidence captures of rain showed no rain even after the drops were fixed,Frustum-testing the drop instances immediately after a capture,"The rain volume follows the camera, and the capture hook stepped traffic and the crowd but not the weather, so the drops were still positioned around wherever the camera had been before the shot",Step the weather in the capture hook alongside the other simulations,"682 of 2,550 drops inside the frustum at capture time, and visible in the frame",apps/manhattan-threejs/src/main.js
P2-052,2J,high,fixed,The crowd murmur could not be switched off,Rendering the audio graph offline with every layer gain set to zero: it measured 0.0165 RMS instead of silence,"The swell oscillator was connected directly to the crowd layer's own gain AudioParam. An oscillator connected to a param is summed into it, so a gain of zero still swung between plus and minus 0.35","Modulate a separate gain node in series instead, so the layer's own gain multiplies through it",A mix with all layers at zero now measures exactly 0.00000 RMS; all seven audio assertions pass,apps/manhattan-threejs/src/audio.js
P2-053,2J,medium,fixed,At night the sun lit the undersides of every cornice in the city,Reading the sun vector out of the time-of-day table at 22:00: elevation -18 degrees,"The keyframe table carries real negative elevations at night, and a directional light below the horizon shines upward",Floor the elevation used for the light direction at 3 degrees; the table's own intensity is what makes it night,Sun intensity at 22:00 is 0.11 with the direction above the horizon,apps/manhattan-threejs/src/weather.js
