Asset Name,Source,Creator,License,Acquisition Date,Original Location,Imported Location,Modification Allowed,Redistribution Allowed,Attribution Required,Modifications Made,Responsible Project Area
Service Android,https://github.com/mrdoob/three.js/tree/7763535f6f944a32105af7d9d57d83a92f310d51/examples/models/gltf/RobotExpressive,"Tomás Laulhé; Don McCurdy",CC0 1.0,2026-07-28,examples/models/gltf/RobotExpressive/RobotExpressive.glb,public/models/characters/service-android/service-android.glb,Yes,Yes,No,"Renamed runtime file; skeleton-safe runtime clones; role palettes; authored animation and facial-morph bindings",Characters/People
Kenney Animated Characters,"https://kenney.nl/assets/animated-characters-retro; https://kenney.nl/assets/animated-characters-protagonists",Kenney,CC0 1.0,2026-07-28,"Animated Characters Retro and Protagonists FBX formats",public/models/characters/kenney-citizen/,Yes,Yes,No,"Combined shared 45-bone model with Idle, Jump, and Run in Blender; normalized to 1.78 m; selected six local skin variants; compact same-origin GLB texture",Characters/People
Quaternius Universal Hero,"https://quaternius.com/packs/modularcharacteroutfitsfantasy.html; https://quaternius.com/packs/universalanimationlibrary.html; https://quaternius.com/packs/universalanimationlibrary2.html",Quaternius,CC0 1.0,2026-07-28,"Free Standard Modular Character Outfits Fantasy and animation archives from Itch",public/models/characters/quaternius-hero/quaternius-hero.glb,Yes,Yes,No,"Combined exact-match 65-joint Male Ranger and animation rigs in Blender; selected 29 city-relevant motions; normalized to 1.82 m; resized textures to 1K JPEG; compact same-origin runtime textures",Characters/People
City Kit Commercial 2.1,https://kenney.nl/assets/city-kit-commercial,Kenney,CC0 1.0,2026-07-28,Kenney City Kit Commercial 2.1 GLB format,public/models/city/buildings/*.glb,Yes,Yes,No,"Selected five referenced shells; runtime bounds normalization; retained authored collision authority",World/Architecture
Nature Kit,https://kenney.nl/assets/nature-kit,Kenney,CC0 1.0,2026-07-28,Kenney Nature Kit GLB format,public/models/city/nature/*.glb,Yes,Yes,No,"Selected three trees, one bush, and one rock; runtime bounds normalization; added collision-backed park features",World/Vegetation
Car Kit 3.1,https://kenney.nl/assets/car-kit,Kenney,CC0 1.0,2026-07-28,Kenney Car Kit 3.1 GLB format,public/models/city/vehicles/*.glb,Yes,Yes,No,"Selected four traffic shells; normalized to the vehicle collision contract; simulation-owned transforms",World/Vehicles
Forest Ground 04,https://polyhaven.com/a/forest_ground_04,"Rico Cilliers; Rob Tuytel",CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; tiled PBR forest-floor material; source binary remains ignored",World/Environment Authoring
Brown Mud Leaves 01,https://polyhaven.com/a/brown_mud_leaves_01,Rob Tuytel,CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; tiled PBR path surface; source binary remains ignored",World/Environment Authoring
Grass Bermuda 01,https://polyhaven.com/a/grass_bermuda_01,Rico Cilliers,CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; instanced fine-carpet variation; source binary remains ignored",World/Environment Authoring
Grass Medium 01,https://polyhaven.com/a/grass_medium_01,"Rico Cilliers; Rob Tuytel",CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; LOD1 instancing; clustered grass layer; source binary remains ignored",World/Environment Authoring
Grass Medium 02,https://polyhaven.com/a/grass_medium_02,Rico Cilliers,CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; LOD1 instancing; dry/green grass variation; source binary remains ignored",World/Environment Authoring
Fern 02,https://polyhaven.com/a/fern_02,"Rico Cilliers; Rob Tuytel",CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; LOD1 instancing; clustered fern layer; source binary remains ignored",World/Environment Authoring
Nettle Plant,https://polyhaven.com/a/nettle_plant,"Rico Cilliers; Rob Tuytel",CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; clustered understory variation; source binary remains ignored",World/Environment Authoring
Weed Plant 02,https://polyhaven.com/a/weed_plant_02,"Rico Cilliers; Rob Tuytel",CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; clustered edge variation; source binary remains ignored",World/Environment Authoring
Moss 01,https://polyhaven.com/a/moss_01,Rob Tuytel,CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; LOD1 instancing; forest-floor micro layer; source binary remains ignored",World/Environment Authoring
Dry Branches Medium 01,https://polyhaven.com/a/dry_branches_medium_01,Rico Cilliers,CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; deterministic litter placement; source binary remains ignored",World/Environment Authoring
Rock Moss Set 01,https://polyhaven.com/a/rock_moss_set_01,Kless Gyzen,CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; scanned PBR material; vegetation exclusion anchors; source binary remains ignored",World/Environment Authoring
Pine Sapling Small,https://polyhaven.com/a/pine_sapling_small,"Rico Cilliers; Rob Tuytel",CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; LOD1 instancing; shared wind; source binary remains ignored",World/Environment Authoring
Pine Sapling Medium,https://polyhaven.com/a/pine_sapling_medium,"Rico Cilliers; Rob Tuytel",CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; LOD1 instancing; shared wind; source binary remains ignored",World/Environment Authoring
Pine Tree 01,https://polyhaven.com/a/pine_tree_01,"Rico Cilliers; Rob Tuytel",CC0 1.0,2026-07-28,Poly Haven public API 1K Blender source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; LOD1 background framing; shared wind; source binary remains ignored",World/Environment Authoring
Autumn Field Pure Sky,https://polyhaven.com/a/autumn_field_puresky,"Jarod Guest; Sergej Majboroda",CC0 1.0,2026-07-28,Poly Haven public API 2K HDR source,SourceAssets/Models/Environment/Working/Shenron_AAA_Meadow.blend,Yes,Yes,No,"Checksum-pinned local source; environment lighting and visible sky; source binary remains ignored",World/Environment Authoring
